year,state,district,crop_name,yield_ton_per_hectare,area_hectares,production_tonnes
2015,Maharashtra,Aurangabad,Rice,1.99,42805,85119.84
2015,Maharashtra,Aurangabad,Sugarcane,56.35,42627,2401820.74
2015,Maharashtra,Nagpur,Rice,1.99,16849,33463.45
2015,Maharashtra,Nagpur,Sugarcane,55.29,35126,1942249.28
2015,Maharashtra,Nashik,Rice,1.97,10379,20454.88
2015,Maharashtra,Nashik,Sugarcane,49.46,45222,2236666.45
2015,Maharashtra,Pune,Rice,2.03,24823,50477.99
2015,Maharashtra,Pune,Sugarcane,58.42,40291,2353855.0
2015,Maharashtra,Satara,Rice,2.22,12712,28186.0
2015,Maharashtra,Satara,Sugarcane,63.53,46332,2943379.99
2015,Punjab,Amritsar,Wheat,2.48,28411,70474.27
2015,Punjab,Amritsar,Rice,2.15,45816,98394.19
2015,Punjab,Bathinda,Wheat,2.43,16784,40789.36
2015,Punjab,Bathinda,Rice,2.17,19222,41631.41
2015,Punjab,Jalandhar,Wheat,2.27,36960,83796.6
2015,Punjab,Jalandhar,Rice,1.97,40467,79760.96
2015,Punjab,Ludhiana,Wheat,2.65,18244,48330.98
2015,Punjab,Ludhiana,Rice,2.24,16002,35815.16
2015,Punjab,Ludhiana,Sugarcane,59.39,21841,1297119.48
2015,Punjab,Patiala,Wheat,3.26,26801,87423.36
2015,Punjab,Patiala,Rice,2.08,18631,38748.06
2016,Maharashtra,Aurangabad,Rice,2.05,13801,28288.02
2016,Maharashtra,Aurangabad,Sugarcane,72.72,32192,2341044.22
2016,Maharashtra,Nagpur,Wheat,3.1,32810,101855.72
2016,Maharashtra,Nagpur,Rice,2.07,19080,39436.43
2016,Maharashtra,Nagpur,Sugarcane,54.89,44156,2423575.36
2016,Maharashtra,Nashik,Wheat,2.62,27366,71739.24
2016,Maharashtra,Nashik,Rice,2.42,20117,48614.5
2016,Maharashtra,Nashik,Sugarcane,58.67,28855,1692937.56
2016,Maharashtra,Pune,Rice,1.95,31252,60809.81
2016,Maharashtra,Pune,Sugarcane,67.34,35208,2370815.42
2016,Maharashtra,Satara,Rice,2.03,19170,38895.05
2016,Maharashtra,Satara,Sugarcane,60.91,45393,2764920.09
2016,Punjab,Amritsar,Wheat,3.12,37619,117355.49
2016,Punjab,Amritsar,Rice,2.03,35541,72221.68
2016,Punjab,Bathinda,Wheat,2.27,33595,76205.98
2016,Punjab,Bathinda,Rice,1.84,15147,27805.31
2016,Punjab,Jalandhar,Wheat,2.54,48497,123366.87
2016,Punjab,Jalandhar,Rice,2.26,26155,59132.76
2016,Punjab,Ludhiana,Wheat,2.36,15777,37173.7
2016,Punjab,Ludhiana,Rice,1.93,11687,22507.82
2016,Punjab,Patiala,Wheat,2.9,45403,131666.31
2016,Punjab,Patiala,Rice,2.16,39152,84510.04
2017,Maharashtra,Aurangabad,Rice,2.17,29322,63523.72
2017,Maharashtra,Aurangabad,Sugarcane,57.87,19346,1119601.25
2017,Maharashtra,Nagpur,Rice,1.97,12749,25143.82
2017,Maharashtra,Nagpur,Sugarcane,65.87,30834,2030974.34
2017,Maharashtra,Nashik,Rice,2.3,45922,105833.45
2017,Maharashtra,Nashik,Sugarcane,62.48,22458,1403082.36
2017,Maharashtra,Pune,Rice,1.81,25112,45456.94
2017,Maharashtra,Pune,Sugarcane,60.67,13343,809488.48
2017,Maharashtra,Satara,Rice,1.84,45901,84318.55
2017,Maharashtra,Satara,Sugarcane,53.22,17989,957413.82
2017,Punjab,Amritsar,Wheat,2.68,24952,66747.56
2017,Punjab,Amritsar,Rice,1.8,35028,63089.55
2017,Punjab,Bathinda,Wheat,2.92,17034,49750.52
2017,Punjab,Bathinda,Rice,2.11,21393,45164.41
2017,Punjab,Jalandhar,Wheat,2.4,21695,51966.34
2017,Punjab,Jalandhar,Rice,2.19,16947,37189.99
2017,Punjab,Ludhiana,Wheat,2.38,26951,64252.68
2017,Punjab,Ludhiana,Rice,2.24,31907,71420.77
2017,Punjab,Patiala,Wheat,2.57,43052,110709.2
2017,Punjab,Patiala,Rice,2.33,49582,115572.39
2017,Punjab,Patiala,Sugarcane,59.73,29857,1783406.17
2018,Maharashtra,Aurangabad,Rice,2.43,40687,98808.64
