year,month,state,district,avg_temp_celsius,avg_rainfall_mm
2015,1,Punjab,Amritsar,20.13,46.6
2015,2,Punjab,Amritsar,21.38,41.09
2015,3,Punjab,Amritsar,30.52,10.65
2015,4,Punjab,Amritsar,30.51,35.84
2015,5,Punjab,Amritsar,33.18,42.38
2015,6,Punjab,Amritsar,34.67,116.98
2015,7,Punjab,Amritsar,29.59,259.2
2015,8,Punjab,Amritsar,32.65,207.17
2015,9,Punjab,Amritsar,29.51,276.15
2015,10,Punjab,Amritsar,29.52,35.54
2015,11,Punjab,Amritsar,31.56,39.48
2015,12,Punjab,Amritsar,19.15,12.64
2015,1,Punjab,Ludhiana,16.46,11.42
2015,2,Punjab,Ludhiana,17.11,40.5
2015,3,Punjab,Ludhiana,30.14,24.61
2015,4,Punjab,Ludhiana,26.03,16.56
2015,5,Punjab,Ludhiana,34.58,21.3
2015,6,Punjab,Ludhiana,33.45,135.65
2015,7,Punjab,Ludhiana,28.66,326.03
2015,8,Punjab,Ludhiana,34.65,292.71
2015,9,Punjab,Ludhiana,34.17,139.8
2015,10,Punjab,Ludhiana,27.14,27.38
2015,11,Punjab,Ludhiana,31.34,29.63
2015,12,Punjab,Ludhiana,15.74,10.7
2015,1,Punjab,Jalandhar,15.02,26.52
2015,2,Punjab,Jalandhar,17.07,15.9
2015,3,Punjab,Jalandhar,29.49,28.15
2015,4,Punjab,Jalandhar,31.68,39.09
2015,5,Punjab,Jalandhar,32.41,41.73
2015,6,Punjab,Jalandhar,34.62,234.6
2015,7,Punjab,Jalandhar,32.62,306.39
2015,8,Punjab,Jalandhar,34.56,122.99
2015,9,Punjab,Jalandhar,31.81,264.05
2015,10,Punjab,Jalandhar,27.03,42.23
2015,11,Punjab,Jalandhar,27.22,24.22
2015,12,Punjab,Jalandhar,20.13,15.1
2015,1,Punjab,Patiala,16.91,36.45
2015,2,Punjab,Patiala,17.89,11.5
2015,3,Punjab,Patiala,27.86,45.65
2015,4,Punjab,Patiala,29.22,46.51
2015,5,Punjab,Patiala,28.12,15.86
2015,6,Punjab,Patiala,34.29,141.05
2015,7,Punjab,Patiala,33.42,104.94
2015,8,Punjab,Patiala,30.9,247.87
2015,9,Punjab,Patiala,33.15,192.65
2015,10,Punjab,Patiala,25.43,36.04
2015,11,Punjab,Patiala,27.62,10.51
2015,12,Punjab,Patiala,15.69,15.55
2015,1,Punjab,Bathinda,19.4,33.36
2015,2,Punjab,Bathinda,18.3,22.01
2015,3,Punjab,Bathinda,25.55,35.34
2015,4,Punjab,Bathinda,31.12,33.8
2015,5,Punjab,Bathinda,34.57,48.55
2015,6,Punjab,Bathinda,30.0,269.47
2015,7,Punjab,Bathinda,30.79,289.47
2015,8,Punjab,Bathinda,32.0,234.36
2015,9,Punjab,Bathinda,32.29,213.35
2015,10,Punjab,Bathinda,30.27,37.41
2015,11,Punjab,Bathinda,26.7,39.09
2015,12,Punjab,Bathinda,20.38,25.82
2015,1,Maharashtra,Pune,15.36,48.98
2015,2,Maharashtra,Pune,17.16,43.45
2015,3,Maharashtra,Pune,27.96,11.94
2015,4,Maharashtra,Pune,31.01,25.64
2015,5,Maharashtra,Pune,31.29,43.31
2015,6,Maharashtra,Pune,34.48,203.92
2015,7,Maharashtra,Pune,30.7,323.42
2015,8,Maharashtra,Pune,32.01,200.69
2015,9,Maharashtra,Pune,32.29,299.08
2015,10,Maharashtra,Pune,25.37,23.41
2015,11,Maharashtra,Pune,29.74,16.69
2015,12,Maharashtra,Pune,17.91,15.13
2015,1,Maharashtra,Nashik,16.19,27.36
2015,2,Maharashtra,Nashik,15.39,16.23
2015,3,Maharashtra,Nashik,25.66,41.73
2015,4,Maharashtra,Nashik,25.91,32.67
2015,5,Maharashtra,Nashik,28.6,14.78
2015,6,Maharashtra,Nashik,29.78,183.68
2015,7,Maharashtra,Nashik,30.51,131.89
2015,8,Maharashtra,Nashik,29.43,169.39
2015,9,Maharashtra,Nashik,32.31,152.84
2015,10,Maharashtra,Nashik,26.48,41.22
2015,11,Maharashtra,Nashik,31.51,35.21
2015,12,Maharashtra,Nashik,17.54,16.61
2015,1,Maharashtra,Nagpur,20.96,47.62
2015,2,Maharashtra,Nagpur,17.56,15.21
2015,3,Maharashtra,Nagpur,26.54,39.41
2015,4,Maharashtra,Nagpur,26.63,21.96
2015,5,Maharashtra,Nagpur,34.87,37.03
2015,6,Maharashtra,Nagpur,29.89,307.07
2015,7,Maharashtra,Nagpur,30.67,100.76
2015,8,Maharashtra,Nagpur,28.53,141.78
2015,9,Maharashtra,Nagpur,28.99,302.26
2015,10,Maharashtra,Nagpur,25.33,27.61
2015,11,Maharashtra,Nagpur,25.43,29.37
2015,12,Maharashtra,Nagpur,17.45,16.89
2015,1,Maharashtra,Aurangabad,20.76,32.64
2015,2,Maharashtra,Aurangabad,16.54,14.61
2015,3,Maharashtra,Aurangabad,30.63,11.65
2015,4,Maharashtra,Aurangabad,28.16,36.97
2015,5,Maharashtra,Aurangabad,29.68,48.95
2015,6,Maharashtra,Aurangabad,30.23,318.57
2015,7,Maharashtra,Aurangabad,28.39,290.42
2015,8,Maharashtra,Aurangabad,33.41,130.95
2015,9,Maharashtra,Aurangabad,34.38,246.39
2015,10,Maharashtra,Aurangabad,27.31,42.39
2015,11,Maharashtra,Aurangabad,29.3,32.96
2015,12,Maharashtra,Aurangabad,16.04,27.68
2015,1,Maharashtra,Satara,17.32,35.38
2015,2,Maharashtra,Satara,17.38,46.11
2015,3,Maharashtra,Satara,30.53,17.04
2015,4,Maharashtra,Satara,26.55,19.97
2015,5,Maharashtra,Satara,30.67,16.48
2015,6,Maharashtra,Satara,34.81,300.27
2015,7,Maharashtra,Satara,29.99,262.88
2015,8,Maharashtra,Satara,31.73,233.42
2015,9,Maharashtra,Satara,34.96,241.83
2015,10,Maharashtra,Satara,26.26,11.57
2015,11,Maharashtra,Satara,29.01,16.78
2015,12,Maharashtra,Satara,15.69,43.1
2016,1,Punjab,Amritsar,15.62,14.07
2016,2,Punjab,Amritsar,18.66,19.27
2016,3,Punjab,Amritsar,31.51,46.82
2016,4,Punjab,Amritsar,31.57,40.4
2016,5,Punjab,Amritsar,32.84,31.02
2016,6,Punjab,Amritsar,33.58,170.38
2016,7,Punjab,Amritsar,30.89,126.96
2016,8,Punjab,Amritsar,34.05,156.54
2016,9,Punjab,Amritsar,29.22,217.64
2016,10,Punjab,Amritsar,30.77,45.45
2016,11,Punjab,Amritsar,29.08,42.56
2016,12,Punjab,Amritsar,19.12,24.89
2016,1,Punjab,Ludhiana,20.23,40.35
2016,2,Punjab,Ludhiana,15.23,48.56
2016,3,Punjab,Ludhiana,30.36,39.61
2016,4,Punjab,Ludhiana,26.79,26.06
2016,5,Punjab,Ludhiana,31.17,25.9
2016,6,Punjab,Ludhiana,32.87,289.91
2016,7,Punjab,Ludhiana,29.93,341.87
2016,8,Punjab,Ludhiana,29.63,328.88
2016,9,Punjab,Ludhiana,30.92,214.03
2016,10,Punjab,Ludhiana,29.99,26.45
2016,11,Punjab,Ludhiana,30.95,14.56
2016,12,Punjab,Ludhiana,19.27,41.28
2016,1,Punjab,Jalandhar,16.65,19.21
2016,2,Punjab,Jalandhar,18.83,21.3
2016,3,Punjab,Jalandhar,31.84,43.37
2016,4,Punjab,Jalandhar,26.71,24.36
2016,5,Punjab,Jalandhar,31.04,45.19
2016,6,Punjab,Jalandhar,30.7,179.38
2016,7,Punjab,Jalandhar,32.33,248.44
2016,8,Punjab,Jalandhar,29.48,214.5
2016,9,Punjab,Jalandhar,30.04,330.39
2016,10,Punjab,Jalandhar,30.24,14.13
2016,11,Punjab,Jalandhar,30.94,47.81
2016,12,Punjab,Jalandhar,18.27,20.56
2016,1,Punjab,Patiala,19.09,35.06
2016,2,Punjab,Patiala,18.76,34.58
2016,3,Punjab,Patiala,25.01,34.74
2016,4,Punjab,Patiala,27.81,17.99
2016,5,Punjab,Patiala,28.4,21.9
2016,6,Punjab,Patiala,29.57,109.63
2016,7,Punjab,Patiala,33.08,344.71
2016,8,Punjab,Patiala,34.83,222.88
2016,9,Punjab,Patiala,31.42,257.45
2016,10,Punjab,Patiala,30.46,16.34
2016,11,Punjab,Patiala,29.79,43.55
2016,12,Punjab,Patiala,18.16,18.48
2016,1,Punjab,Bathinda,20.1,15.26
2016,2,Punjab,Bathinda,15.5,46.76
2016,3,Punjab,Bathinda,28.99,46.51
2016,4,Punjab,Bathinda,28.83,22.67
2016,5,Punjab,Bathinda,30.79,33.25
2016,6,Punjab,Bathinda,33.42,337.66
2016,7,Punjab,Bathinda,30.87,246.45
2016,8,Punjab,Bathinda,34.02,207.6
2016,9,Punjab,Bathinda,32.19,264.86
2016,10,Punjab,Bathinda,30.32,36.02
2016,11,Punjab,Bathinda,27.38,28.08
2016,12,Punjab,Bathinda,18.42,30.34
2016,1,Maharashtra,Pune,16.04,15.18
2016,2,Maharashtra,Pune,18.29,24.16
2016,3,Maharashtra,Pune,28.36,38.95
2016,4,Maharashtra,Pune,29.86,12.26
2016,5,Maharashtra,Pune,29.56,28.61
2016,6,Maharashtra,Pune,31.4,273.21
2016,7,Maharashtra,Pune,33.69,252.5
2016,8,Maharashtra,Pune,29.0,131.19
2016,9,Maharashtra,Pune,32.0,160.05
2016,10,Maharashtra,Pune,30.22,37.6
2016,11,Maharashtra,Pune,28.17,48.07
2016,12,Maharashtra,Pune,20.16,47.62
2016,1,Maharashtra,Nashik,16.55,15.94
2016,2,Maharashtra,Nashik,20.71,43.3
2016,3,Maharashtra,Nashik,25.31,43.01
2016,4,Maharashtra,Nashik,27.92,20.85
2016,5,Maharashtra,Nashik,29.98,15.77
2016,6,Maharashtra,Nashik,34.14,344.68
2016,7,Maharashtra,Nashik,33.38,199.14
2016,8,Maharashtra,Nashik,31.99,216.43
2016,9,Maharashtra,Nashik,29.68,263.71
2016,10,Maharashtra,Nashik,31.9,36.72
2016,11,Maharashtra,Nashik,30.55,36.34
2016,12,Maharashtra,Nashik,16.44,32.03
2016,1,Maharashtra,Nagpur,17.13,18.84
2016,2,Maharashtra,Nagpur,20.95,32.7
2016,3,Maharashtra,Nagpur,25.88,28.63
2016,4,Maharashtra,Nagpur,26.47,18.3
2016,5,Maharashtra,Nagpur,33.62,33.43
2016,6,Maharashtra,Nagpur,34.75,345.73
2016,7,Maharashtra,Nagpur,30.89,202.89
2016,8,Maharashtra,Nagpur,34.56,125.59
2016,9,Maharashtra,Nagpur,32.13,142.53
2016,10,Maharashtra,Nagpur,26.79,15.08
2016,11,Maharashtra,Nagpur,29.54,34.11
2016,12,Maharashtra,Nagpur,20.64,22.72
2016,1,Maharashtra,Aurangabad,17.84,36.47
2016,2,Maharashtra,Aurangabad,19.58,47.43
2016,3,Maharashtra,Aurangabad,25.18,47.83
2016,4,Maharashtra,Aurangabad,31.64,26.38
2016,5,Maharashtra,Aurangabad,34.86,40.85
2016,6,Maharashtra,Aurangabad,33.64,190.85
2016,7,Maharashtra,Aurangabad,31.28,276.83
2016,8,Maharashtra,Aurangabad,32.93,157.42
2016,9,Maharashtra,Aurangabad,34.82,298.18
2016,10,Maharashtra,Aurangabad,29.05,26.53
2016,11,Maharashtra,Aurangabad,30.92,37.9
2016,12,Maharashtra,Aurangabad,15.77,46.8
2016,1,Maharashtra,Satara,18.91,29.08
2016,2,Maharashtra,Satara,17.78,25.27
2016,3,Maharashtra,Satara,31.44,15.76
2016,4,Maharashtra,Satara,29.26,26.7
2016,5,Maharashtra,Satara,31.25,31.24
2016,6,Maharashtra,Satara,30.61,232.28
2016,7,Maharashtra,Satara,31.73,228.79
2016,8,Maharashtra,Satara,32.83,230.65
2016,9,Maharashtra,Satara,29.01,213.85
2016,10,Maharashtra,Satara,31.82,47.85
2016,11,Maharashtra,Satara,28.82,46.51
2016,12,Maharashtra,Satara,20.73,33.93
2017,1,Punjab,Amritsar,20.93,25.83
2017,2,Punjab,Amritsar,16.84,48.13
2017,3,Punjab,Amritsar,30.43,25.18
2017,4,Punjab,Amritsar,28.1,48.92
2017,5,Punjab,Amritsar,29.09,48.16
2017,6,Punjab,Amritsar,34.97,334.23
2017,7,Punjab,Amritsar,28.28,242.48
2017,8,Punjab,Amritsar,30.01,279.13
2017,9,Punjab,Amritsar,29.08,105.32
2017,10,Punjab,Amritsar,25.95,45.43
2017,11,Punjab,Amritsar,26.13,20.81
2017,12,Punjab,Amritsar,19.72,44.42
